"6208"^*"2018-05-20 00:00:00"^*"0"^*"0"^*""^*""^*""^*""^*""^*""^*"3"^*""^*""^*""^*""^*"20180728103885"^*""^*"1"^*"20"^*"1000000"^*"102445"^*""^*""^*"0"^*"1000000"^*"0"^*"0"^*""^*""^*""^*
"6270"^*"2018-09-12 00:00:00"^*"0"^*"0"^*""^*""^*""^*""^*""^*""^*"3"^*""^*""^*""^*""^*"20180914104004"^*""^*"1"^*"21"^*"0"^*"102445"^*""^*""^*"789897"^*"0"^*"789897"^*"0"^*""^*""^*""^*
"6271"^*"2018-09-13 00:00:00"^*"0"^*"0"^*""^*""^*""^*""^*""^*""^*"3"^*""^*""^*""^*""^*"20180914104004"^*""^*"1"^*"22"^*"78678"^*"102445"^*""^*""^*"97"^*"78678"^*"97"^*"0"^*""^*""^*""^*
"6289"^*"2018-12-05 00:00:00"^*"0"^*"0"^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*"20181210104125"^*""^*"1"^*"20"^*"12345"^*"102445"^*""^*""^*"0"^*"12345"^*"0"^*"0"^*""^*""^*""^*
"6228"^*"2018-07-31 00:00:00"^*"0"^*"0"^*""^*""^*""^*""^*""^*""^*"3"^*""^*""^*""^*""^*"20180810103926"^*""^*"1"^*"21"^*"0"^*"102445"^*""^*""^*"10000"^*"0"^*"10000"^*"0"^*""^*""^*""^*
"6268"^*"2018-09-11 00:00:00"^*"0"^*"1"^*""^*""^*""^*""^*"1"^*"10347"^*"3"^*"2018-09-11 00:00:00"^*"2018-09-11 00:00:00"^*""^*"TZ2018090165"^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*
"6288"^*"2018-12-10 00:00:00"^*"0"^*"0"^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*"20181210104123"^*""^*"1"^*"20"^*"10000"^*"102445"^*""^*""^*"0"^*"10000"^*"0"^*"0"^*""^*""^*""^*
"6188"^*"2018-06-30 00:00:00"^*"0"^*"0"^*""^*""^*""^*""^*""^*""^*"3"^*""^*""^*""^*""^*"20180630103827"^*""^*"1"^*"21"^*"0"^*"102445"^*""^*""^*"2000000"^*"0"^*"2000000"^*"0"^*""^*""^*""^*
"6248"^*"2018-08-28 00:00:00"^*"0"^*"0"^*""^*""^*""^*""^*""^*""^*"3"^*""^*""^*""^*""^*"20180908103981"^*""^*"1"^*"21"^*"0"^*"102445"^*""^*""^*"11"^*"0"^*"11"^*"0"^*""^*""^*""^*
"6249"^*"2018-08-29 00:00:00"^*"0"^*"0"^*""^*""^*""^*""^*""^*""^*"3"^*""^*""^*""^*""^*"20180908103981"^*""^*"1"^*"21"^*"0"^*"102445"^*""^*""^*"12"^*"0"^*"12"^*"0"^*""^*""^*""^*
"6250"^*"2018-08-27 00:00:00"^*"0"^*"0"^*""^*""^*""^*""^*""^*""^*"3"^*""^*""^*""^*""^*"20180908103981"^*""^*"1"^*"20"^*"12"^*"102445"^*""^*""^*"0"^*"12"^*"0"^*"0"^*""^*""^*""^*
"6251"^*"2018-08-22 00:00:00"^*"0"^*"0"^*""^*""^*""^*""^*""^*""^*"3"^*""^*""^*""^*""^*"20180908103981"^*""^*"1"^*"22"^*"1111"^*"102445"^*""^*""^*"12"^*"1111"^*"12"^*"0"^*""^*""^*""^*
"6269"^*"2018-09-11 00:00:00"^*"0"^*"0"^*""^*""^*""^*""^*""^*""^*"3"^*""^*""^*""^*""^*"20180914104004"^*""^*"1"^*"20"^*"1111"^*"102445"^*""^*""^*"0"^*"1111"^*"0"^*"0"^*""^*""^*""^*
