"000301_82"^*"000301"^*"2"^*"M"^*"2018-08-10 00:00:00"^*"0"^*""^*"0"^*""^*"CNY"^*"2019-02-10 00:00:00"^*"2018-08-10 00:00:00"^*"FIX"^*""^*""^*""^*""^*"10000000"^*"A/360"^*""^*"10000000"^*""^*"0"^*"0"^*"BR"^*"91827359013413"^*""^*"100000"^*"12"^*"0"^*"00"^*"BOND"^*"03"^*"05"^*
"000301_81"^*"000301"^*"1"^*"P"^*"2019-02-13 00:00:00"^*"10000000"^*""^*"-990000000"^*"1000000000"^*"CNY"^*"2019-02-10 00:00:00"^*"2019-02-13 00:00:00"^*"FIX"^*""^*""^*""^*""^*"1000000000"^*"A/360"^*""^*"10000000"^*"10000000"^*"10000"^*"0"^*"BR"^*"91827359013413"^*"BOND-19000121"^*""^*"12"^*"1"^*"00"^*"BOND"^*"03"^*"05"^*
"18234891234_14"^*"18234891234"^*"2"^*"P"^*"2018-05-25 00:00:00"^*"100010"^*""^*"90010"^*"10000"^*"CNY"^*"2018-05-25 00:00:00"^*"2018-05-25 00:00:00"^*"FIX"^*""^*""^*""^*""^*"10000"^*"A/360"^*""^*"10000"^*"10000"^*"0"^*"0"^*"BR"^*"91827359013413"^*"20180525000003"^*""^*"10"^*"1"^*"00"^*"BOND"^*""^*""^*
"18234891234_13"^*"18234891234"^*"8"^*"M"^*"2020-01-31 00:00:00"^*"1425.667"^*""^*"25.667"^*"1400"^*"CNY"^*"2019-11-26 00:00:00"^*"2020-01-31 00:00:00"^*"FIX"^*""^*""^*""^*""^*"1400"^*"A/360"^*""^*"1400"^*"1400"^*"25.667"^*"1"^*"BR"^*"91827359013413"^*""^*"14"^*"10"^*"0"^*"00"^*"BOND"^*""^*""^*
"18234891234_12"^*"18234891234"^*"7"^*"RP"^*"2019-11-30 00:00:00"^*"3203.556"^*""^*"3.556"^*"3200"^*"CNY"^*"2019-11-26 00:00:00"^*"2019-11-30 00:00:00"^*"FIX"^*""^*""^*""^*""^*"3200"^*"A/360"^*""^*"3200"^*"3200"^*"3.556"^*"1"^*"BR"^*"91827359013413"^*""^*"14"^*"10"^*"0"^*"00"^*"BOND"^*""^*""^*
"18234891234_9"^*"18234891234"^*"6"^*"RP"^*"2019-05-31 00:00:00"^*"3204.444"^*""^*"4.444"^*"3200"^*"CNY"^*"2019-05-26 00:00:00"^*"2019-05-31 00:00:00"^*"FIX"^*""^*""^*""^*""^*"3200"^*"A/360"^*""^*"3200"^*"3200"^*"4.444"^*"1"^*"BR"^*"91827359013413"^*""^*"46"^*"10"^*"0"^*"00"^*"BOND"^*""^*""^*
"18234891234_6"^*"18234891234"^*"5"^*"RP"^*"2018-11-30 00:00:00"^*"3203.556"^*""^*"3.556"^*"3200"^*"CNY"^*"2018-11-26 00:00:00"^*"2018-11-30 00:00:00"^*"FIX"^*""^*""^*""^*""^*"3200"^*"A/360"^*""^*"3200"^*"3200"^*"3.556"^*"1"^*"BR"^*"91827359013413"^*""^*"78"^*"10"^*"0"^*"00"^*"BOND"^*""^*""^*
"18234891234_3"^*"18234891234"^*"4"^*"RP"^*"2018-05-31 00:00:00"^*"100.139"^*""^*"0.139"^*"100"^*"CNY"^*"2018-05-26 00:00:00"^*"2018-05-31 00:00:00"^*"FIX"^*""^*""^*""^*""^*"100"^*"A/360"^*""^*"100"^*"100"^*"0.139"^*"1"^*"BR"^*"91827359013413"^*""^*"110"^*"10"^*"0"^*"00"^*"BOND"^*""^*""^*
"18234891234_2"^*"18234891234"^*"3"^*"I"^*"2018-05-25 00:00:00"^*"10000"^*""^*"10000"^*"0"^*"CNY"^*"2018-05-25 00:00:00"^*"2018-05-26 00:00:00"^*"FIX"^*""^*""^*""^*""^*"11100"^*"A/360"^*""^*"11100"^*"0"^*"1192.583"^*"2"^*"BR"^*"91827359013413"^*"2018001"^*"111"^*"10"^*"1"^*"00"^*"BOND"^*""^*""^*
"18234891234_1"^*"18234891234"^*"1"^*"P"^*"2018-05-25 00:00:00"^*"11"^*""^*"0"^*"11"^*"CNY"^*"2018-05-25 00:00:00"^*"2018-05-25 00:00:00"^*"FIX"^*""^*""^*""^*""^*"11"^*"A/360"^*""^*"1100"^*"1100"^*"0"^*"0"^*"BR"^*"91827359013413"^*"20180525000004"^*""^*"10"^*"1"^*"00"^*"BOND"^*""^*""^*
