"   "^*"C_GUARANTEECONTRACTCODE"^*"C_GUARANTEECONTRACTNO"^*"C_GUARANTEECONTRACTNUM"^*"C_GUARANTEETYPE"^*"C_RELATIONCODE"^*"F_GUARANTEEAMOUNT"^*"F_REMAININGGUARANTEEAMOUNT"^*"D_GUARANTEESTARTDATE"^*"D_GUARANTEEENDDATE"^*"C_GUARANTEEPERIOD"^*"C_GUARANTEESTATUS"^*"C_ENTERUSER"^*"D_ENTERTIME"^*"C_LASTUPDATEUSER"^*"D_LASTUPDATETIME"^*"C_OPERATINGSTATUS"^*"C_QUALIFICATION"^*"F_RECOVERABLEBALANCE"^*"F_DISPOSALMONEY"^*"F_DISPOSALMONEY"^*"C_DISPOSALYEARS"^*"F_BALANCECOST"^*"F_CURRENTBALANCE"^*"F_DEDUCTIONTEN"^*"F_LASTTIMELOSS"^*"F_LASTBALANCE"^*"C_GUARANTEECONTRACTNO"^*"C_ISGUARANTEETYPE"^*"C_ESCROWSTATUS"^*"C_CYKIND"^*"D_LIMITATIONEXPDATE"
"1"^*"16163"^*"323423"^*"001"^*"02"^*"d2538d8764c11c9d0164c62aae1300d3,80808080649c9eea01649d18c823004d"^*"222222222.000000"^*"144444.000000"^*""^*""^*"null"^*"02"^*"000200735"^*"2018/11/22 16:58:17"^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*"323423"^*"02"^*""^*"156"^*""
"2"^*"16158"^*"LZGK-保证合同-2018-001"^*"001"^*"01"^*"808080806434f1de016436046a17009b"^*"710370000.000000"^*"710370000.000000"^*"2018/1/1"^*"2020/12/31"^*""^*"02"^*"000916468"^*"2018/7/4 17:27:00"^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*"LZGK-保证合同-2018-001"^*"02"^*""^*"156"^*""
"3"^*"16162"^*"借款人2主合同1保证1"^*"001"^*"01"^*"80808080649c9eea01649d18c823004d"^*"400000.000000"^*"200000.000000"^*"2018/7/4"^*"2019/12/31"^*"1"^*"02"^*"000805289"^*"2018/11/25 16:40:54"^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*"借款人2主合同1保证1"^*"01"^*""^*"156"^*"2019/12/31"
"4"^*"16155"^*"20180613-311"^*"001"^*"02"^*"808080806434f1de016436046a17009b"^*"50000000.000000"^*"50000000.000000"^*"2018/1/1"^*"2019/1/1"^*""^*"02"^*"1111"^*"2018/6/25 16:32:46"^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*"20180613-311"^*"01"^*""^*"156"^*""
"5"^*"16157"^*"20180613-81"^*"002"^*"02"^*"808080806434f1de016436046a17009b"^*"2000000.000000"^*"1000000.000000"^*"2018/3/1"^*"2019/3/1"^*"null"^*"02"^*"1111"^*"2018/6/25 17:18:35"^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*"20180613-81"^*"02"^*""^*"156"^*""
"6"^*"16156"^*"20180613-7"^*"001"^*"02"^*"808080806434f1de016436046a17009b"^*"2400000.000000"^*"0.000000"^*"2018/2/1"^*"2019/2/1"^*"1年"^*"02"^*"1111"^*"2018/6/25 17:09:07"^*"1111"^*"2018/6/25 17:46:11"^*""^*""^*"0.000000"^*""^*""^*""^*""^*""^*""^*""^*"0.000000"^*"20180613-7"^*"02"^*""^*"156"^*""
"7"^*"16161"^*"2018072701"^*"001"^*"02"^*"80808080649c9eea01649d18c823004d"^*"100000000.000000"^*"10000000.000000"^*"2018/7/26"^*"2018/7/27"^*""^*"02"^*"000200735"^*"2018/8/8 15:54:28"^*""^*""^*""^*""^*"20000000.000000"^*""^*""^*""^*""^*""^*""^*""^*""^*"2018072701"^*"01"^*""^*"156"^*"2018/7/27"
"8"^*"16164"^*"12345"^*"002"^*"01"^*"d2538d8764c11c9d0164c62aae1300d3"^*"10000000.000000"^*"10000000.000000"^*"2018/12/10"^*"2018/12/20"^*""^*"02"^*"000200735"^*"2018/12/10 19:19:19"^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*"12345"^*"02"^*""^*"156"^*"2018/12/28"
"9"^*"16159"^*"mck20180704测试收债转股1借款人2主合同1保证1"^*"001"^*"02"^*"808080806434f1de016436046a17009b"^*"1000000.000000"^*"500000.000000"^*"2018/7/4"^*"2019/12/31"^*"1"^*"01"^*"000200735"^*"2018/7/16 16:37:26"^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*"mck20180704测试收债转股1借款人2主合同1保证1"^*"02"^*""^*"156"^*"2019/12/31"
"10"^*"16165"^*"20181227-11"^*"001"^*"02"^*"80808080649c9eea01649d18c823004d"^*"100000000.000000"^*"100000000.000000"^*""^*""^*""^*"02"^*"000916468"^*"2018/12/27 11:22:37"^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*"20181227-11"^*"01"^*""^*"156"^*""
"11"^*"16160"^*"借款人2主合同1保证1"^*"001"^*"01"^*"80808080649c9eea01649d18c823004d"^*"400000.000000"^*"200000.000000"^*"2018/7/4"^*"2019/12/31"^*"1"^*"01"^*"000200735"^*"2018/7/16 16:42:22"^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*"借款人2主合同1保证1"^*"01"^*""^*"156"^*"2019/12/31"
