"   "^*"L_PLANID"^*"D_PDATE"^*"C_STATE"^*"C_DATAFLAG"^*"D_CREATE"^*"C_CREATER"^*"D_UPDATE"^*"C_UPDATER"^*"C_EQUITYPLANKIND"^*"L_EQUITYASSETNO"^*"C_REVIEWSTATUS"^*"D_BDATE"^*"D_EDATE"^*"F_TOTAL_AMOUNT"^*"C_PROJECTCODE"^*"C_CONTRACTID"^*"C_ASSETID"^*"C_PLANTYPE"^*"C_REPAYWAY"^*"F_PCAPITAL"^*"C_FUNDACID"^*"C_RIVALID"^*"C_ACCOID"^*"F_PINCOME"^*"F_MCAPITAL"^*"F_MINCOME"^*"C_ISRECREATE"^*"F_LOANBALANCE"^*"C_CONTRACTSTATE"^*"C_REPAYMENTTYPE"
"1"^*"6208"^*"2018/5/20"^*"0"^*"0"^*"2018/7/28 9:29:56"^*"888801250"^*"2018/7/28 9:29:56"^*"888801250"^*""^*""^*"3"^*""^*""^*""^*""^*"20180728103885"^*""^*"1"^*"20"^*"1000000.00000000"^*"102445"^*""^*""^*"0.00000000"^*"1000000.00000000"^*"0.00000000"^*"0"^*""^*""^*""
"2"^*"6270"^*"2018/9/12"^*"0"^*"0"^*"2018/9/24 18:45:32"^*"admin"^*"2018/9/24 18:45:32"^*"admin"^*""^*""^*"3"^*""^*""^*""^*""^*"20180914104004"^*""^*"1"^*"21"^*"0.00000000"^*"102445"^*""^*""^*"789897.00000000"^*"0.00000000"^*"789897.00000000"^*"0"^*""^*""^*""
"3"^*"6271"^*"2018/9/13"^*"0"^*"0"^*"2018/9/24 18:46:04"^*"admin"^*"2018/9/24 18:46:04"^*"admin"^*""^*""^*"3"^*""^*""^*""^*""^*"20180914104004"^*""^*"1"^*"22"^*"78678.00000000"^*"102445"^*""^*""^*"97.00000000"^*"78678.00000000"^*"97.00000000"^*"0"^*""^*""^*""
"4"^*"6289"^*"2018/12/5"^*"0"^*"0"^*"2018/12/10 19:53:53"^*"admin"^*"2018/12/10 19:53:53"^*"admin"^*""^*""^*""^*""^*""^*""^*""^*"20181210104125"^*""^*"1"^*"20"^*"12345.00000000"^*"102445"^*""^*""^*"0.00000000"^*"12345.00000000"^*"0.00000000"^*"0"^*""^*""^*""
"5"^*"6228"^*"2018/7/31"^*"0"^*"0"^*"2018/8/11 15:13:40"^*"000200735"^*"2018/8/11 15:13:40"^*"000200735"^*""^*""^*"3"^*""^*""^*""^*""^*"20180810103926"^*""^*"1"^*"21"^*"0.00000000"^*"102445"^*""^*""^*"10000.00000000"^*"0.00000000"^*"10000.00000000"^*"0"^*""^*""^*""
"6"^*"6268"^*"2018/9/11"^*"0"^*"1"^*"2018/9/22 17:21:35"^*"admin"^*""^*""^*"1"^*"10347"^*"3"^*"2018/9/11"^*"2018/9/11"^*"100000.00"^*"TZ2018090165"^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""
"7"^*"6288"^*"2018/12/10"^*"0"^*"0"^*"2018/12/10 17:10:32"^*"000200735"^*"2018/12/10 17:10:32"^*"000200735"^*""^*""^*""^*""^*""^*""^*""^*"20181210104123"^*""^*"1"^*"20"^*"10000.00000000"^*"102445"^*""^*""^*"0.00000000"^*"10000.00000000"^*"0.00000000"^*"0"^*""^*""^*""
"8"^*"6188"^*"2018/6/30"^*"0"^*"0"^*"2018/6/30 18:05:21"^*"admin"^*"2018/6/30 18:05:21"^*"admin"^*""^*""^*"3"^*""^*""^*""^*""^*"20180630103827"^*""^*"1"^*"21"^*"0.00000000"^*"102445"^*""^*""^*"2000000.00000000"^*"0.00000000"^*"2000000.00000000"^*"0"^*""^*""^*""
"9"^*"6248"^*"2018/8/28"^*"0"^*"0"^*"2018/9/8 16:36:54"^*"000200735"^*"2018/9/8 16:36:54"^*"000200735"^*""^*""^*"3"^*""^*""^*""^*""^*"20180908103981"^*""^*"1"^*"21"^*"0.00000000"^*"102445"^*""^*""^*"11.00000000"^*"0.00000000"^*"11.00000000"^*"0"^*""^*""^*""
"10"^*"6249"^*"2018/8/29"^*"0"^*"0"^*"2018/9/8 16:37:37"^*"000200735"^*"2018/9/8 16:37:37"^*"000200735"^*""^*""^*"3"^*""^*""^*""^*""^*"20180908103981"^*""^*"1"^*"21"^*"0.00000000"^*"102445"^*""^*""^*"12.00000000"^*"0.00000000"^*"12.00000000"^*"0"^*""^*""^*""
"11"^*"6250"^*"2018/8/27"^*"0"^*"0"^*"2018/9/8 16:37:52"^*"000200735"^*"2018/9/8 16:37:52"^*"000200735"^*""^*""^*"3"^*""^*""^*""^*""^*"20180908103981"^*""^*"1"^*"20"^*"12.00000000"^*"102445"^*""^*""^*"0.00000000"^*"12.00000000"^*"0.00000000"^*"0"^*""^*""^*""
"12"^*"6251"^*"2018/8/22"^*"0"^*"0"^*"2018/9/8 16:40:11"^*"000200735"^*"2018/9/8 16:40:11"^*"000200735"^*""^*""^*"3"^*""^*""^*""^*""^*"20180908103981"^*""^*"1"^*"22"^*"1111.00000000"^*"102445"^*""^*""^*"12.00000000"^*"1111.00000000"^*"12.00000000"^*"0"^*""^*""^*""
"13"^*"6269"^*"2018/9/11"^*"0"^*"0"^*"2018/9/24 18:44:58"^*"admin"^*"2018/9/24 18:44:58"^*"admin"^*""^*""^*"3"^*""^*""^*""^*""^*"20180914104004"^*""^*"1"^*"20"^*"1111.00000000"^*"102445"^*""^*""^*"0.00000000"^*"1111.00000000"^*"0.00000000"^*"0"^*""^*""^*""
